NM2,NM3,NM4,NM5,IDN5
Prešovský,Snina,Hrabová Roztoka,Hrabová Roztoka,"818810"
Prešovský,Svidník,Hrabovčík,Hrabovčík,"818828"
Žilinský,Bytča,Bytča,Hrabové,"818836"
Prešovský,Bardejov,Hrabovec,Hrabovec,"818844"
Prešovský,Humenné,Hrabovec nad Laborcom,Hrabovec nad Laborcom,"818852"
Trenčiansky,Trenčín,Hrabovka,Hrabovka,"818861"
Prešovský,Bardejov,Hrabské,Hrabské,"818887"
Košický,Spišská Nová Ves,Hrabušice,Hrabušice,"818909"
Prešovský,Kežmarok,Hradisko,Hradisko,"818941"
Prešovský,Prešov,Terňa,Hradisko,"818950"
Trenčiansky,Partizánske,Hradište,Hradište,"818968"
Banskobystrický,Poltár,Hradište,Hradište,"818984"
Trnavský,Senica,Hradište pod Vrátnom,Hradište pod Vrátnom,"819000"
Trenčiansky,Nové Mesto nad Váhom,Hrádok,Hrádok,"819018"
Trenčiansky,Nové Mesto nad Váhom,Hrachovište,Hrachovište,"819042"
Banskobystrický,Rimavská Sobota,Hrachovo,Hrachovo,"819051"
Košický,Trebišov,Hraň,Hraň,"819069"
Košický,Košice - okolie,Kechnec,Kechnec,"819085"
Košický,Košice - okolie,Milhosť,Milhosť,"819107"
Prešovský,Stará Ľubovňa,Hraničné,Hraničné,"819123"
Prešovský,Poprad,Hranovnica,Hranovnica,"819131"
Trenčiansky,Myjava,Hrašné,Hrašné,"819158"
Košický,Košice - okolie,Hrašovík,Hrašovík,"819212"
Žilinský,Ružomberok,Ružomberok,Hrboltová,"819221"
Košický,Trebišov,Hrčeľ,Hrčeľ,"819247"
Košický,Rožňava,Hrhov,Hrhov,"819255"
Košický,Trebišov,Hriadky,Hriadky,"819263"
Žilinský,Žilina,Hričovské Podhradie,Hričovské Podhradie,"819271"
Banskobystrický,Detva,Hriňová,Hriňová,"819298"
Košický,Gelnica,Hrišovce,Hrišovce,"819441"
Nitriansky,Levice,Hrkovce,Hrkovce,"819450"
Banskobystrický,Revúca,Hrlica,Hrlica,"819468"
Trnavský,Trnava,Hrnčiarovce nad Parnou,Hrnčiarovce,"819476"
Banskobystrický,Poltár,Hrnčiarska Ves,Pondelok,"819514"
Banskobystrický,Poltár,Hrnčiarska Ves,Veľká Suchá,"819531"
Banskobystrický,Poltár,Hrnčiarske Zalužany,Hrnčiarske Zalužany,"819549"
Trnavský,Dunajská Streda,Dolný Štál,Dolný Štál,"819557"
Trnavský,Dunajská Streda,Dolný Štál,Horný Štál,"819565"
Trnavský,Dunajská Streda,Dolný Štál,Tône,"819581"
Banskobystrický,Banská Bystrica,Hrochoť,Hrochoť,"819603"
Prešovský,Stará Ľubovňa,Hromoš,Hromoš,"819620"
Banskobystrický,Brezno,Hronec,Hronec,"819662"
Banskobystrický,Banská Bystrica,Brusno,Brusno,"819671"
Nitriansky,Levice,Hronovce,Čajakovo,"819701"
Nitriansky,Levice,Hronovce,Domaša,"819719"
Nitriansky,Levice,Hronovce,Vozokany nad Hronom,"819735"
Banskobystrický,Banská Bystrica,Hronsek,Hronsek,"819743"
Banskobystrický,Zvolen,Hronská Breznica,Hronská Breznica,"819760"
Banskobystrický,Žiar nad Hronom,Hronská Dúbrava,Hronská Dúbrava,"819786"
Nitriansky,Levice,Hronské Kľačany,Hronské Kľačany,"819794"
Nitriansky,Levice,Hronské Kosihy,Hronské Kosihy,"819808"
Banskobystrický,Žarnovica,Hronský Beňadik,Hronský Beňadik,"819816"
Bratislavský,Senec,Hrubá Borša,Hrubá Borša,"819824"
Nitriansky,Nitra,Hruboňovo,Suľany,"819832"
Nitriansky,Nitra,Hruboňovo,Výčapky,"819841"
Prešovský,Humenné,Hrubov,Hrubov,"819859"
Bratislavský,Senec,Hrubý Šúr,Hrubý Šúr,"819867"
Banskobystrický,Veľký Krtíš,Hrušov,Hrušov,"819883"
Košický,Rožňava,Hrušov,Hrušov,"819972"
Nitriansky,Topoľčany,Hrušovany,Hrušovany,"819981"
Banskobystrický,Rimavská Sobota,Hrušovo,Hrušovo,"819999"
Banskobystrický,Rimavská Sobota,Hrušovo,Ostrany,"820008"
Banskobystrický,Rimavská Sobota,Hrušovo,Striežovce,"820016"
Žilinský,Námestovo,Hruštín,Hruštín,"820024"
Trnavský,Dunajská Streda,Hubice,Hubice,"820032"
Trnavský,Piešťany,Hubina,Hubina,"820041"
Prešovský,Sabinov,Hubošovce,Hubošovce,"820059"
Žilinský,Ružomberok,Hubová,Hubová,"820075"
Banskobystrický,Rimavská Sobota,Hubovo,Hubovo,"820083"
Banskobystrický,Revúca,Hucín,Hucín,"820091"
Prešovský,Humenné,Hudcovce,Hudcovce,"820105"
Nitriansky,Nové Zámky,Hul,Hul,"820113"
Prešovský,Humenné,Humenné,Humenné,"820121"
Prešovský,Humenné,Rokytov pri Humennom,Humenský Rokytov,"820369"
Prešovský,Kežmarok,Huncovce,Huncovce,"820385"
Prešovský,Svidník,Hunkovce,Hunkovce,"820393"
Bratislavský,Senec,Hurbanova Ves,Hurbanova Ves,"820407"
Nitriansky,Komárno,Hurbanovo,Hurbanovo,"820423"
Košický,Sobrance,Husák,Husák,"820482"
Banskobystrický,Rimavská Sobota,Husiná,Husiná,"820491"
Prešovský,Bardejov,Hutka,Hutka,"820539"
Košický,Košice - okolie,Bočiar,Bočiar,"820547"
Košický,Košice - okolie,Sokoľany,Sokoľany,"820555"
Žilinský,Liptovský Mikuláš,Huty,Huty,"820563"
Trnavský,Dunajská Streda,Hviezdoslavov,Hviezdoslavov,"820571"
Žilinský,Bytča,Hvozdnica,Hvozdnica,"820598"
Žilinský,Liptovský Mikuláš,Hybe,Hybe,"820610"
Košický,Košice - okolie,Hýľov,Hýľov,"820636"
Banskobystrický,Rimavská Sobota,Chanava,Chanava,"820644"
Nitriansky,Nové Zámky,Chľaba,Chľaba,"820661"
Žilinský,Dolný Kubín,Chlebnice,Chlebnice,"820679"
Prešovský,Humenné,Chlmec,Chlmec,"820687"
Prešovský,Stará Ľubovňa,Chmeľnica,Chmeľnica,"820695"
Prešovský,Prešov,Chmeľov,Chmeľov,"820709"
Prešovský,Bardejov,Chmeľová,Chmeľová,"820725"
Prešovský,Prešov,Chmeľovec,Chmeľovec,"820733"
Prešovský,Prešov,Chmiňany,Chmiňany,"820750"
Prešovský,Prešov,Chminianska Nová Ves,Chminianska Nová Ves,"820776"
Prešovský,Prešov,Chminianske Jakubovany,Chminianske Jakubovany,"820784"
Nitriansky,Zlaté Moravce,Choča,Choča,"820792"
Trenčiansky,Trenčín,Chocholná-Velčice,Chocholná-Velčice,"820831"
Košický,Sobrance,Choňkovce,Choňkovce,"820849"
Bratislavský,Senec,Chorvátsky Grob,Chorvátsky Grob,"820865"
Prešovský,Stropkov,Chotča,Chotča,"820873"
Nitriansky,Komárno,Chotín,Chotín,"820881"
Nitriansky,Topoľčany,Chrabrany,Chrabrany,"820903"
Banskobystrický,Rimavská Sobota,Chrámec,Chrámec,"820911"
Košický,Spišská Nová Ves,Chrasť nad Hornádom,Chrasť nad Hornádom,"820938"
Banskobystrický,Veľký Krtíš,Chrastince,Chrastince,"820946"
Košický,Košice - okolie,Chrastné,Chrastné,"820954"
Nitriansky,Zlaté Moravce,Beladice,Malé Chrašťany,"820962"
Nitriansky,Zlaté Moravce,Beladice,Veľké Chrašťany,"820971"
Trenčiansky,Prievidza,Chrenovec-Brusno,Brusno,"820989"
Trenčiansky,Prievidza,Chrenovec-Brusno,Chrenovec,"820997"
Trnavský,Skalica,Chropov,Chropov,"821004"
Banskobystrický,Veľký Krtíš,Chrťany,Chrťany,"821012"
Trnavský,Piešťany,Chtelnica,Chtelnica,"821039"
Trenčiansky,Bánovce nad Bebravou,Chudá Lehota,Chudá Lehota,"821047"
Banskobystrický,Revúca,Chvalová,Chvalová,"821055"
Trenčiansky,Myjava,Chvojnica,Chvojnica,"821063"
Trenčiansky,Prievidza,Chvojnica,Chvojnica,"821071"
Trenčiansky,Partizánske,Chynorany,Chynorany,"821098"
Banskobystrický,Revúca,Chyžné,Chyžné,"821110"
Bratislavský,Senec,Igram,Igram,"821128"
Prešovský,Kežmarok,Ihľany,Majerka,"821136"
Prešovský,Kežmarok,Ihľany,Stotince,"821144"
Banskobystrický,Žiar nad Hronom,Ihráč,Ihráč,"821152"
Trenčiansky,Púchov,Púchov,Ihrište,"821161"
Žilinský,Liptovský Mikuláš,Liptovský Mikuláš,Iľanovo,"821179"
Trenčiansky,Ilava,Ilava,Ilava,"821187"
Košický,Spišská Nová Ves,Iliašovce,Iliašovce,"821209"
Banskobystrický,Banská Štiavnica,Ilija,Ilija,"821225"
Nitriansky,Komárno,Imeľ,Imeľ,"821241"
Nitriansky,Levice,Iňa,Iňa,"821250"
Košický,Michalovce,Iňačovce,Iňačovce,"821276"
Košický,Sobrance,Inovce,Inovce,"821284"
Banskobystrický,Veľký Krtíš,Ipeľské Predmostie,Ipeľské Predmostie,"821292"
Nitriansky,Levice,Ipeľské Úľany,Ipeľské Úľany,"821306"
Banskobystrický,Poltár,Málinec,Ipeľský Potok,"821357"
Nitriansky,Levice,Ipeľský Sokolec,Ipeľský Sokolec,"821373"
Žilinský,Dolný Kubín,Istebné,Istebné,"821390"
Žilinský,Ružomberok,Ivachnová,Ivachnová,"821403"
Žilinský,Turčianske Teplice,Ivančiná,Ivančiná,"821411"
Banskobystrický,Rimavská Sobota,Ivanice,Ivanice,"821420"
Bratislavský,Senec,Ivanka pri Dunaji,Farná,"821438"
Bratislavský,Senec,Ivanka pri Dunaji,Ivanka pri Dunaji,"821446"
Nitriansky,Nitra,Ivanka pri Nitre,Ivanka pri Nitre,"821454"
Trenčiansky,Trenčín,Ivanovce,Ivanovce,"821471"
Nitriansky,Komárno,Iža,Iža,"821501"
Žilinský,Liptovský Mikuláš,Ižipovce,Ižipovce,"821519"
Košický,Michalovce,Ižkovce,Ižkovce,"821527"
Trnavský,Dunajská Streda,Veľký Meder,Ižop,"821535"
Prešovský,Humenné,Jabloň,Jabloň,"821551"
Bratislavský,Pezinok,Jablonec,Jablonec,"821560"
Trnavský,Senica,Jablonica,Jablonica,"821586"
Trenčiansky,Myjava,Jablonka,Jablonka,"821632"
Prešovský,Levoča,Jablonov,Jablonov,"821713"
Košický,Rožňava,Jablonov nad Turňou,Jablonov nad Turňou,"821721"
Nitriansky,Levice,Jabloňovce,Dolné Jabloňovce,"821730"
Nitriansky,Levice,Jabloňovce,Horné Jabloňovce,"821748"
Bratislavský,Malacky,Jablonové,Jablonové,"821756"
Žilinský,Bytča,Jablonové,Jablonové,"821772"
Nitriansky,Topoľčany,Jacovce,Jacovce,"821781"
Trnavský,Dunajská Streda,Dunajský Klátov,Dunajský Klátov,"821802"
Trnavský,Dunajská Streda,Jahodná,Jahodná,"821811"
Košický,Gelnica,Jaklovce,Jaklovce,"821845"
Prešovský,Sabinov,Jakovany,Jakovany,"821853"
Prešovský,Stará Ľubovňa,Jakubany,Jakubany,"821870"
Bratislavský,Malacky,Jakubov,Jakubov,"821888"
Prešovský,Sabinov,Jakubova Voľa,Jakubova Voľa,"821896"
Žilinský,Liptovský Mikuláš,Jakubovany,Jakubovany,"821900"
Prešovský,Sabinov,Jakubovany,Jakubovany,"821926"
Prešovský,Stropkov,Jakušovce,Jakušovce,"821934"
Banskobystrický,Žiar nad Hronom,Trnavá Hora,Jalná,"821942"
Prešovský,Snina,Jalová,Jalová,"821951"
Žilinský,Liptovský Mikuláš,Jalovec,Jalovec,"821969"
Trenčiansky,Prievidza,Jalovec,Jalovec,"821977"
Trnavský,Hlohovec,Jalšové,Jalšové,"821985"
Banskobystrický,Krupina,Jalšovík,Jalšovík,"822001"
Žilinský,Liptovský Mikuláš,Jamník,Jamník,"822019"
Košický,Spišská Nová Ves,Jamník,Jamník,"822027"
Banskobystrický,Rimavská Sobota,Janice,Janice,"822035"
Košický,Košice - okolie,Janík,Janík,"822043"
Trnavský,Dunajská Streda,Janíky,Búštelek,"822051"
Trnavský,Dunajská Streda,Janíky,Dolné Janíky,"822060"
Trnavský,Dunajská Streda,Janíky,Horné Janíky,"822078"
Prešovský,Humenné,Jankovce,Jankovce,"822086"
Bratislavský,Senec,Dunajská Lužná,Jánošíková,"822094"
Prešovský,Prešov,Janov,Janov,"822108"
Banskobystrický,Žiar nad Hronom,Janova Lehota,Janova Lehota,"822124"
Trenčiansky,Partizánske,Klátova Nová Ves,Janova Ves,"822132"
Trnavský,Galanta,Jánovce,Jánovce,"822141"
Prešovský,Bardejov,Janovce,Janovce,"822167"
Prešovský,Poprad,Jánovce,Jánovce,"822183"
Prešovský,Poprad,Jánovce,Machalovce,"822191"
Prešovský,Prešov,Janovík,Janovík,"822205"
Banskobystrický,Brezno,Jarabá,Jarabá,"822213"
Prešovský,Stará Ľubovňa,Jarabina,Jarabina,"822221"
Trnavský,Trnava,Cífer,Jarná,"822230"
Nitriansky,Nitra,Jarok,Jarok,"822248"
Bratislavský,Bratislava V,Bratislava-Jarovce,Jarovce,"822256"
Prešovský,Sabinov,Jarovnice,Jarovnice,"822272"
Trenčiansky,Považská Bystrica,Jasenica,Jasenica,"822281"
Banskobystrický,Brezno,Jasenie,Jasenie,"822302"
Prešovský,Humenné,Jasenov,Jasenov,"822329"
Košický,Sobrance,Jasenov,Jasenov,"822337"
Žilinský,Dolný Kubín,Jasenová,Jasenová,"822345"
Prešovský,Vranov nad Topľou,Jasenovce,Jasenovce,"822353"
Žilinský,Žilina,Jasenové,Jasenové,"822388"
Žilinský,Turčianske Teplice,Jasenovo,Jasenovo,"822396"
Trnavský,Trnava,Jaslovské Bohunice,Bohunice,"822400"
Trnavský,Trnava,Jaslovské Bohunice,Jaslovce,"822418"
Košický,Košice - okolie,Jasov,Jasov,"822434"
Nitriansky,Nové Zámky,Jasová,Jasová,"822451"
Banskobystrický,Žiar nad Hronom,Jastrabá,Jastrabá,"822485"
Prešovský,Vranov nad Topľou,Jastrabie nad Topľou,Jastrabie nad Topľou,"822493"
Košický,Michalovce,Jastrabie pri Michalovciach,Jastrabie pri Michalovciach,"822507"
Nitriansky,Nové Zámky,Jatov,Jatov,"822515"
Žilinský,Turčianske Teplice,Jazernica,Jazernica,"822566"
Prešovský,Bardejov,Jedlinka,Jedlinka,"822574"
Nitriansky,Zlaté Moravce,Jedľové Kostoľany,Jedľové Kostoľany,"822621"
Nitriansky,Nitra,Jelenec,Jelenec,"822655"
Trnavský,Galanta,Jelka,Jelka,"822663"
Trnavský,Galanta,Jelka,Nová Jelka,"822671"
Trnavský,Galanta,Jelka,Ereč,"822680"
Banskobystrický,Revúca,Jelšava,Jelšava,"822698"
Nitriansky,Nitra,Jelšovce,Jelšovce,"822728"
Banskobystrický,Lučenec,Jelšovec,Jelšovec,"822736"
Košický,Sobrance,Jenkovce,Jenkovce,"822744"
Banskobystrický,Rimavská Sobota,Jesenské,Jesenské,"822795"
Banskobystrický,Rimavská Sobota,Jestice,Jestice,"822817"
Trenčiansky,Prievidza,Diviaky nad Nitricou,Ješkova Ves,"822825"
Prešovský,Kežmarok,Jezersko,Jezersko,"822833"
Košický,Rožňava,Jovice,Jovice,"822841"
Košický,Michalovce,Jovsa,Jovsa,"822850"
Nitriansky,Levice,Jur nad Hronom,Jur nad Hronom,"822868"
Bratislavský,Pezinok,Svätý Jur,Svätý Jur,"822884"
Bratislavský,Pezinok,Svätý Jur,Neštich,"822892"
Prešovský,Svidník,Jurkova Voľa,Jurkova Voľa,"822906"
Trnavský,Dunajská Streda,Jurová,Jurová,"822914"
Prešovský,Kežmarok,Jurské,Jurské,"822922"
Prešovský,Vranov nad Topľou,Juskova Voľa,Juskova Voľa,"822931"
Košický,Michalovce,Kačanov,Kačanov,"822957"
Trnavský,Galanta,Kajal,Kajal,"822965"
Žilinský,Turčianske Teplice,Kaľamenová,Kaľamenová,"822973"
Žilinský,Ružomberok,Kalameny,Kalameny,"822981"
Košický,Spišská Nová Ves,Kaľava,Kaľava,"822990"
Nitriansky,Levice,Levice,Kalinčiakovo,"823015"
Bratislavský,Senec,Kalinkovo,Kalinkovo,"823023"
Prešovský,Medzilaborce,Kalinov,Kalinov,"823031"
Banskobystrický,Poltár,Kalinovo,Hrabovo,"823058"
Banskobystrický,Poltár,Kalinovo,Kalinovo,"823066"
Nitriansky,Levice,Kalná nad Hronom,Kalná,"823112"
Nitriansky,Levice,Kalná nad Hronom,Kalnica,"823121"
Prešovský,Snina,Kalná Roztoka,Kalná Roztoka,"823147"
Trenčiansky,Nové Mesto nad Váhom,Kálnica,Kálnica,"823155"
Prešovský,Svidník,Kalnište,Kalnište,"823163"
Banskobystrický,Lučenec,Kalonda,Kalonda,"823171"
Banskobystrický,Rimavská Sobota,Kaloša,Kaloša,"823180"
Košický,Košice - okolie,Kalša,Kalša,"823210"
Košický,Michalovce,Kaluža,Kaluža,"823228"
Nitriansky,Topoľčany,Kamanová,Kamanová,"823236"
Banskobystrický,Revúca,Kameňany,Kameňany,"823252"
Trenčiansky,Prievidza,Kamenec pod Vtáčnikom,Kamenec pod Vtáčnikom,"823261"
Prešovský,Sabinov,Kamenica,Kamenica,"823287"
Prešovský,Humenné,Hažín nad Cirochou,Hažín nad Cirochou,"823317"
Prešovský,Humenné,Kamenica nad Cirochou,Kamenica nad Cirochou,"823325"
Nitriansky,Nové Zámky,Kamenica nad Hronom,Kamenica nad Hronom,"823333"
Trenčiansky,Ilava,Kameničany,Kameničany,"823350"
Nitriansky,Komárno,Kameničná,Kameničná,"823384"
Nitriansky,Nové Zámky,Kamenín,Kamenín,"823422"
Žilinský,Žilina,Kamenná Poruba,Kamenná Poruba,"823449"
Prešovský,Vranov nad Topľou,Kamenná Poruba,Kamenná Poruba,"823457"
Banskobystrický,Veľký Krtíš,Kamenné Kosihy,Kamenné Kosihy,"823473"
Nitriansky,Nové Zámky,Kamenný Most,Kamenný Most,"823490"
Prešovský,Humenné,Kamienka,Kamienka,"823503"
Prešovský,Stará Ľubovňa,Kamienka,Kamienka,"823511"
Trenčiansky,Prievidza,Kanianka,Kanianka,"823520"
Nitriansky,Nitra,Kapince,Kapince,"823538"
Prešovský,Svidník,Kapišová,Kapišová,"823546"
Bratislavský,Senec,Kaplna,Kaplna,"823554"
Prešovský,Prešov,Kapušany,Kapušany,"823571"
Košický,Michalovce,Kapušianske Kľačany,Kapušianske Kľačany,"823589"
Trenčiansky,Považská Bystrica,Domaniža,Kardošova Vieska,"823597"
Žilinský,Martin,Karlová,Karlová,"823601"
Prešovský,Humenné,Karná,Karná,"823627"
Košický,Trebišov,Kašov,Kašov,"823635"
Trnavský,Trnava,Kátlovce,Kátlovce,"823643"
Trnavský,Skalica,Kátov,Kátov,"823651"
Prešovský,Levoča,Spišské Podhradie,Katúň,"823660"
Košický,Košice I,Košice-Kavečany,Kavečany,"823678"
Košický,Trebišov,Kazimír,Veľký Kazimír,"823686"
Košický,Košice - okolie,Kecerovce,Kecerovské Kostoľany,"823708"
Košický,Košice - okolie,Kecerovce,Kecerovské Pekľany,"823732"
Košický,Košice - okolie,Kecerovský Lipovec,Kecerovský Lipovec,"823741"
Prešovský,Svidník,Kečkovce,Kečkovce,"823759"
Košický,Rožňava,Kečovo,Kečovo,"823767"
Prešovský,Prešov,Kendice,Kendice,"823775"
Banskobystrický,Rimavská Sobota,Kesovce,Kesovce,"823791"
Banskobystrický,Rimavská Sobota,Kesovce,Dimitrij,"823805"
Prešovský,Kežmarok,Kežmarok,Kežmarok,"823813"
Banskobystrický,Veľký Krtíš,Kiarov,Kiarov,"823945"
Trnavský,Hlohovec,Kľačany,Kľačany,"823970"
Banskobystrický,Žiar nad Hronom,Trnavá Hora,Kľačany,"823996"
Žilinský,Žilina,Kľače,Kľače,"824003"
Trenčiansky,Prievidza,Kľačno,Kľačno,"824011"
Prešovský,Vranov nad Topľou,Kladzany,Kladzany,"824020"
Banskobystrický,Žarnovica,Kľak,Kľak,"824038"
Nitriansky,Nitra,Klasov,Klasov,"824054"
Banskobystrický,Banská Štiavnica,Baďan,Klastava,"824062"
Žilinský,Martin,Kláštor pod Znievom,Kláštor pod Znievom,"824089"
Trenčiansky,Partizánske,Klátova Nová Ves,Klátova Nová Ves,"824101"
Prešovský,Levoča,Klčov,Klčov,"824127"
Banskobystrický,Veľký Krtíš,Kleňany,Kleňany,"824135"
Prešovský,Prešov,Klenov,Klenov,"824143"
Prešovský,Snina,Klenová,Klenová,"824151"
Banskobystrický,Rimavská Sobota,Klenovec,Klenovec,"824224"
Trenčiansky,Považská Bystrica,Klieština,Klieština,"824348"
Žilinský,Námestovo,Klin,Klin,"824364"
Nitriansky,Komárno,Klížska Nemá,Klížska Nemá,"824381"
Trenčiansky,Ilava,Ilava,Klobušice,"824402"
Banskobystrický,Detva,Klokoč,Klokoč,"824437"
Žilinský,Čadca,Klokočov,Klokočov,"824551"
Košický,Michalovce,Klokočov,Klokočov,"824844"
Žilinský,Čadca,Klubina,Klubina,"824852"
Trenčiansky,Trenčín,Nemšová,Kľúčové,"824879"
Trnavský,Dunajská Streda,Kľúčovec,Kľúčovec,"824887"
Košický,Gelnica,Kluknava,Kluknava,"824895"
Prešovský,Bardejov,Kľušov,Kľušov,"824925"
Nitriansky,Nové Zámky,Kmeťovo,Kmeťovo,"824941"
Žilinský,Dolný Kubín,Dolný Kubín,Kňažia,"824968"
Košický,Rožňava,Kobeliarovo,Kobeliarovo,"824976"
Prešovský,Svidník,Kobylnice,Kobylnice,"824984"
Prešovský,Bardejov,Kobyly,Kobyly,"824992"
Košický,Rožňava,Koceľovce,Koceľovce,"825018"
Banskobystrický,Rimavská Sobota,Kociha,Kociha,"825026"
Trenčiansky,Prievidza,Kocurany,Kocurany,"825051"
Trnavský,Piešťany,Piešťany,Kocurice,"825069"
Trnavský,Piešťany,Kočín-Lančár,Kočín,"825077"
Trenčiansky,Nové Mesto nad Váhom,Kočovce,Beckovská Vieska,"825085"
Trenčiansky,Nové Mesto nad Váhom,Kočovce,Kočovce,"825093"
Trenčiansky,Nové Mesto nad Váhom,Kočovce,Rakoľuby,"825107"
Prešovský,Bardejov,Kochanovce,Kochanovce,"825115"
Prešovský,Humenné,Kochanovce,Kochanovce nad Laborcom,"825123"
Prešovský,Prešov,Kojatice,Kojatice,"825131"
Košický,Gelnica,Kojšov,Kojšov,"825166"
Banskobystrický,Poltár,Kokava nad Rimavicou,Kokava nad Rimavicou,"825298"
Banskobystrický,Poltár,Utekáč,Utekáč,"825344"
Prešovský,Prešov,Kokošovce,Kokošovce,"825387"
Košický,Košice - okolie,Kokšov-Bakša,Kokšov-Bakša,"825409"
Trenčiansky,Ilava,Nová Dubnica,Malý Kolačín,"825417"
Trenčiansky,Ilava,Nová Dubnica,Veľký Kolačín,"825425"
Prešovský,Stará Ľubovňa,Kolačkov,Kolačkov,"825433"
Trenčiansky,Partizánske,Kolačno,Kolačno,"825441"
Žilinský,Bytča,Kolárovice,Kolárovice,"825506"
Nitriansky,Komárno,Kolárovo,Kolárovo,"825581"
Nitriansky,Komárno,Kolárovo,Vážsky klin,"825671"
Banskobystrický,Veľký Krtíš,Koláre,Koláre,"825689"
Prešovský,Snina,Kolbasov,Kolbasov,"825697"
Prešovský,Stropkov,Kolbovce,Kolbovce,"825701"
Košický,Sobrance,Kolibabovce,Kolibabovce,"825719"
Nitriansky,Nitra,Kolíňany,Kolíňany,"825743"
Košický,Spišská Nová Ves,Kolinovce,Kolinovce,"825760"
Prešovský,Snina,Kolonica,Kolonica,"825778"
Nitriansky,Nové Zámky,Kolta,Kolta,"825786"
Prešovský,Vranov nad Topľou,Komárany,Komárany,"825794"
Nitriansky,Komárno,Komárno,Komárno,"825883"
Prešovský,Bardejov,Komárov,Komárov,"826031"
Košický,Košice - okolie,Komárovce,Komárovce,"826049"
Košický,Sobrance,Sobrance,Komárovce,"826057"
Nitriansky,Nové Zámky,Komjatice,Komjatice,"826073"
Žilinský,Ružomberok,Komjatná,Komjatná,"826081"
Nitriansky,Nové Zámky,Komoča,Komoča,"826103"
Nitriansky,Topoľčany,Koniarovce,Koniarovce,"826111"
Banskobystrický,Rimavská Sobota,Konrádovce,Konrádovce,"826120"
Žilinský,Liptovský Mikuláš,Konská,Konská,"826138"
Žilinský,Žilina,Konská,Konská,"826146"
Žilinský,Martin,Podhradie,Konské,"826154"
Košický,Sobrance,Koňuš,Koňuš,"826162"
Banskobystrický,Žarnovica,Hodruša-Hámre,Kopanice,"826189"
Trnavský,Skalica,Kopčany,Kopčany,"826197"
Košický,Michalovce,Zemplínske Kopčany,Zemplínske Kopčany,"826201"
Trenčiansky,Ilava,Košecké Podhradie,Kopec,"826219"
Banskobystrický,Žiar nad Hronom,Kopernica,Kopernica,"826227"
Trnavský,Hlohovec,Koplotovce,Koplotovce,"826235"
Prešovský,Bardejov,Koprivnica,Koprivnica,"826251"
Banskobystrický,Banská Bystrica,Kordíky,Kordíky,"826260"
Prešovský,Svidník,Korejovce,Korejovce,"826278"
Žilinský,Čadca,Korňa,Korňa,"826294"
Košický,Sobrance,Koromľa,Koromľa,"826537"
Prešovský,Stropkov,Korunková,Korunková,"826545"
Banskobystrický,Veľký Krtíš,Kosihovce,Kosihovce,"826561"
Banskobystrický,Veľký Krtíš,Kosihy nad Ipľom,Kosihy nad Ipľom,"826570"
Banskobystrický,Žiar nad Hronom,Kosorín,Kosorín,"826588"
Nitriansky,Zlaté Moravce,Kostoľany pod Tribečom,Kostoľany pod Tribečom,"826596"
Trenčiansky,Považská Bystrica,Kostolec,Kostolec,"826600"
Bratislavský,Malacky,Kostolište,Kostolište,"826626"
Bratislavský,Senec,Kostolná pri Dunaji,Kostolná pri Dunaji,"826634"
Bratislavský,Senec,Kostolná pri Dunaji,Malý Šúr,"826642"
Trenčiansky,Prievidza,Kostolná Ves,Kostolná Ves,"826651"
Trenčiansky,Trenčín,Kostolná-Záriečie,Kostolná-Záriečie,"826669"
Trenčiansky,Myjava,Kostolné,Kostolné,"826693"
Trnavský,Dunajská Streda,Kostolné Kračany,Amadeho Kračany,"826740"
Trnavský,Dunajská Streda,Kostolné Kračany,Kostolné Kračany,"826758"
Trnavský,Dunajská Streda,Kostolné Kračany,Kynceľove Kračany,"826766"
Trnavský,Dunajská Streda,Kostolné Kračany,Moravské Kračany,"826774"
Trnavský,Dunajská Streda,Kostolné Kračany,Pinkove Kračany,"826782"
Nitriansky,Nové Zámky,Šurany,Kostolný Sek,"826804"
Trenčiansky,Prievidza,Koš,Koš,"826812"
Trenčiansky,Myjava,Košariská,Košariská,"826821"
Prešovský,Humenné,Košarovce,Košarovce,"826871"
Trenčiansky,Ilava,Košeca,Košeca,"826880"
Trenčiansky,Ilava,Zliechov,Košecké Rovné,"826910"
Košický,Košice I,Košice-Staré Mesto,Stredné Mesto,"826928"
Košický,Košice I,Košice-Staré Mesto,Letná,"826952"
Košický,Košice I,Košice-Staré Mesto,Huštáky,"827029"
Košický,Košice IV,Košice-Vyšné Opátske,Vyšné Opátske,"827088"
Košický,Košice IV,Košice-Juh,Južné Mesto,"827118"
Košický,Košice II,Košice-Luník IX,Luník,"827142"
Košický,Košice II,Košice-Západ,Terasa,"827207"
Košický,Košice I,Košice-Sever,Čermeľ,"827274"
Košický,Košice I,Košice-Sever,Severné Mesto,"827312"
Košický,Košice III,Košice-Dargovských hrdinov,Furča,"827339"
Košický,Košice III,Košice-Košická Nová Ves,Košická Nová Ves,"827347"
Košický,Košice IV,Košice-Barca,Barca,"827380"
Košický,Košice II,Košice-Pereš,Pereš,"827401"
Košický,Košice II,Košice-Myslava,Myslava,"827428"
Košický,Košice I,Košice-Sever,Kamenné,"827444"
Košický,Košice I,Košice-Ťahanovce,Ťahanovce,"827452"
Košický,Košice II,Košice-Poľov,Poľov,"827495"
